name,domain_name,media_outlet_type,state,bias,active
WCNC,wcnc.com,Local Broadcast News,North Carolina,Center,TRUE
WLTX,wltx.com,Local Broadcast News,South Carolina,Center,TRUE
WRAL,wral.com,Local Broadcast News,North Carolina,Center,TRUE
WWAY TV3,wwaytv3.com,Local Broadcast News,North Carolina,Center,TRUE
WXII TV 12,wxii12.com,Local Broadcast News,North Carolina,Center,TRUE
WYFF TV 4,wyff4.com,Local Broadcast News,South Carolina,Center,TRUE
Windy City Times,windycitytimes.com,Local News Outlet,Arizona,Left,TRUE
27 East,27east.com,Local News Outlet,New York,Center,TRUE
AFGE,afge.org,Other,Unspecified,Center,TRUE
Alberni Valley News,albernivalleynews.com,Local News Outlet,Unspecified,Center,TRUE
American Free Press,americanfreepress.net,Web Publication,Unspecified,Right,TRUE
Axios,axios.com,Web Publication,Unspecified,Center,TRUE
Bakersfield.com,bakersfield.com,Local News Outlet,California,Center,TRUE
Bozeman Daily Chronicle,bozemandailychronicle.com,Local News Outlet,Montana,Center,TRUE
Bradford Today,bradfordtoday.ca,Local News Outlet,Unspecified,Center,TRUE
Brookings,brookings.edu,Local News Outlet,Unspecified,Center Left,TRUE
Bucks County Herald,buckscountyherald.com,Local News Outlet,Pennsylvania,Center,TRUE
Buffalo News,buffalonews.com,Local News Outlet,New York,Center,TRUE
Business World,bworldonline.com,Web Publication,Unspecified,Center,TRUE
Capital Gazette,capitalgazette.com,Local News Outlet,Maryland,Center,TRUE
Cap Times,captimes.com,Local News Outlet,Wisconsin,Center,TRUE
CBS 17,cbs17.com,Local News Outlet,North Carolina,Center,TRUE
Center Times,centredaily.com,Local News Outlet,Pennsylvania,Center,TRUE
Center for Global Development,cgdev.org,Web Publication,Unspecified,Center,TRUE
Charlotte Observer,charlotteobserver.com,Local News Outlet,North Carolina,Center,TRUE
Christian Chronicle,christianchronicle.org,Web Publication,Unspecified,Center,TRUE
Tokeka Capital-Journal,cjonline.com,Local News Outlet,Kansas,Center,TRUE
Columbia Missouriuan,columbiamissourian.com,Local News Outlet,Missouri,Center,TRUE
Cornell Sun,cornellsun.com,Local News Outlet,New York,Center,TRUE
Courier Journal,courier-journal.com,Local News Outlet,Kentucky,Center,TRUE
Dayton Daily News,daytondailynews.com,Local News Outlet,Ohio,Center,TRUE
Devex,devex.com,Web Publication,Unspecified,Center,TRUE
Dissent,dissentmagazine.org,Opinion Journal,Unspecified,Left,TRUE
The Evanstonian,evanstonian.net,Local News Outlet,Illinois,Center,TRUE
Fredrick News Post,fredericknewspost.com,Local News Outlet,Massachusetts,Center,TRUE
Idaho Press,idahopress.com,Local News Outlet,Idaho,Center,TRUE
Institute  of Food Technologists,ift.org,Other,Unspecified,Center,TRUE
Indy Week,indyweek.com,Local News Outlet,Indiana,Center,TRUE
Khaama Press,khaama.com,Local News Outlet,Unspecified,Center,TRUE
Los Alamo Daily Post,ladailypost.com,Local News Outlet,New Mexico,Center,TRUE
Lancaster Farming,lancasterfarming.com,Local News Outlet,Pennsylvania,Center,TRUE
Live 5 News Charleston,live5news.com,Local Broadcast News,South Carolina,Center,TRUE
Live Science,livescience.com,Web Publication,Unspecified,Center,TRUE
Lawrence Journal-World,ljworld.com,Local News Outlet,Kansas,Center,TRUE
Wisconsin State Journal,madison.com,Local News Outlet,Wisconsin,Center,TRUE
Marco Eagle,marconews.com,Local News Outlet,Florida,Center,TRUE
Marshall Parthenon,marshallparthenon.com,Local News Outlet,West Virginia,Center,TRUE
